text,language
De noz ostages ferat trencher les testes;,Old French
"Asez est mielz, qu'il i perdent les testes,",Old French
"Que nus perduns clere Espaigne, la bele,",Old French
Ne nus aiuns les mals ne les suffraites.»,Old French
Dient paien: «Issi poet il ben estre!»,Old French
V,Old French
Li reis Marsilie out sun cunseill finet:,Old French
"Sin apelat Clarin (...) de Balaguet,",Old French
"Estamarin e Eudropin, sun per,",Old French
"E Priamun e Guarlan le barbet,",Old French
"E Machiner e sun uncle, Maheu,",Old French
"E Joüner e Malbien d'ultremer,",Old French
"E Blancandrins, por la raisun cunter.",Old French
Des plus feluns dís en ad apelez:,Old French
"«Seignurs baruns, a Carlemagnes irez;",Old French
Il est al siege a Cordres la citet.,Old French
"Branches d'olives en voz mains porterez,",Old French
Ço senefiet pais e humilitet.,Old French
"Par voz saveirs sem puez acorder,",Old French
"Jo vos durrai or e argent asez,",Old French
Teres e fiéz tant cum vos en vuldrez.»,Old French
Dient paien: «De ço avun nus asez!» aoi.,Old French
VI,Old French
Li reis Marsilie out finet sun cunseill;,Old French
"Dist a ses humes: «Seignurs, vos en ireiz;",Old French
"Branches d'olive en voz mains portereiz,",Old French
"Si me direz a Carlemagne, le rei,",Old French
Pur le soen Deu qu'il ait m(er)ercit de mei.,Old French
"Ja einz ne verrat passer cest premer meis,",Old French
"Que jel sivrai od mil de mes fedeilz,",Old French
"Si recevrai la chrestiene lei,",Old French
f.vSerai ses hom par amur e par feid;,Old French
"S'il voelt ostages, il en avrat par veir.»",Old French
Dist Blancandrins: «Mult bon plait en avreiz.» aoi.,Old French
VII,Old French
"Dis blanches mules fist amener Marsilies,",Old French
Que li tramist li reis de Suatilie;,Old French
"Li frein sunt d'or, les seles d'argent mises.",Old French
"Cil sunt muntez ki le message firent,",Old French
Enz en lur mains portent branches d'olive.,Old French
Vindrent a Charles ki France ad en baillie:,Old French
Nes poet guarder que alques ne l'engignent. aoi.,Old French
VIII,Old French
"Li empereres se fait e balz e liez,",Old French
"Cordres ad prise e les murs peceiez,",Old French
Od ses cadables les turs en abatied.,Old French
Mult grant eschech en unt si chevaler,Old French
D'or e d argent e de guarnemenz chers.,Old French
"En la citet nen ad remes paien,",Old French
"Ne seit ocis, u devient chrestien.",Old French
"Li empereres est en un grant verger,",Old French
Ensembl od lui Rollant et oliver,Old French
Sansun li dux e anseis li fiers,Old French
"Gefreid d anjou le rei gunfanuner,",Old French
"E si i furent e gerin et gerers,",Old French
"La u cist furent, des altres i out bien:",Old French
De dulce france i ad quinze milliers.,Old French
"Sur palies blancs siedent cil cevaler,",Old French
As tables juent pur els esbaneier,Old French
"E as eschecs li plus saive e li veill,",Old French
E escremissent cil bacheler leger.,Old French
f.rDesuz un pin delez un eglenter,Old French
"Un faldestoed i unt fait tut d or mer,",Old French
"La siet li reis, ki dulce france tient.",Old French
"Blanche ad la barbe e tut flurit le chef,",Old French
"Gent ad le cors e le cuntenant fier,",Old French
"S'est, kil demandet, ne l estoet enseigner.",Old French
"E li message descendirent a pied,",Old French
Sil saluerent par amur e par bien.,Old French
IX,Old French
"Blancandrins ad tut premereins parled,",Old French
E dist al rei: «Salvez seiez de Deu,Old French
"Le glorius, que devuns aürer!",Old French
"Iço vus mandet reis Marsilies, li bers:",Old French
Enquis ad mult la lei de salvetez;,Old French
"De sun aveir vos voelt asez duner,",Old French
"Urs e leuns e veltres enchaignez,",Old French
"Set cenz cameilz e mil hosturs muez,",Old French
"D'or e d'argent .IIII. cenz muls trussez,",Old French
"Cinquante care, que carier en ferez;",Old French
Tant i avrat de besanz esmerez,Old French
Dunt bien purrez voz soldeiers luer.,Old French
En cest païs avez estet asez;,Old French
"En France, ad Ais, devez bien repairer;",Old French
"La vos sivrat, ço dit mis avoez.»",Old French
"Li empereres tent (...) ses mains vers Deu,",Old French
"Baisset sun chef, si cumencet a penser. aoi.",Old French
X,Old French
Li empereres en tint sun chef enclin;,Old French
De sa parole ne fut mie hastifs:,Old French
Sa custume est qu'il parolet a leisír.,Old French
"f.vQuant se redrecet, mult par out fier lu vis;",Old French
Dist as messages: «Vus avez mult ben dit.,Old French
Li reis Marsilies est mult mis enemis.,Old French
"De cez paroles que vos avez ci dit,",Old French
En quel mesure en purrai estre fiz?»,Old French
"– «Voet par hostages,» ço dist li Sarrazins,",Old French
«Dunt vos avrez ú dis ú quinze ú vint.,Old French
"Par num de ocire i metrai un mien filz,",Old French
"E sin avrez, ço quid, de plus gentilz.",Old French
"Quant vus serez el palais seignurill,",Old French
"A la grant feste seint Michel del Peril,",Old French
"Mis avoez la vos sivrat, ço dit;",Old French
"Enz en voz bainz que Deus pur vos i fist,",Old French
La vuldrat il chrestiens devenir.»,Old French
Charles respunt: «Uncore purrat guarir.» aoi.,Old French
XI,Old French
Bels fut li vespres e li soleilz fut cler.,Old French
"Les dis mulez fait Charles establer,",Old French
"El grant verger fait li reis tendre un tref,",Old French
Les dis messages ad fait enz hosteler;,Old French
.XII. serjanz les unt ben cunreez.,Old French
La noit demurent tresque vint al jur cler.,Old French
Li empereres est par matin levet;,Old French
Messe e matines ad li reis escultet.,Old French
"Desuz un pin en est li reis alez,",Old French
Ses baruns mandet pur sun cunseill finer:,Old French
Par cels de France voelt il del tut errer. aoi.,Old French
XII,Old French
Li empereres s'en vait desuz un pin.,Old French
Ses baruns mandet pur sun cunseill fenir:,Old French
"f.rLe duc Oger, (e) l'arcevesque Turpin,",Old French
"Richard li Vélz e sun nevold Henri,",Old French
E de Gascuigne li proz quens Acelin,Old French
"Tedbald de Reins e Milun, sun cusin;",Old French
E si i furent e Gerers e Gerin;,Old French
"Ensembl' od els li quens Rollant i vint,",Old French
"E Oliver, li proz e li gentilz;",Old French
Des Francs de France en i ad plus de mil.,Old French
"Guenes i vint, ki la traïsun fist.",Old French
Des ore cumencet le cunseill que mal prist. aoi.,Old French
XIII,Old French
"«Seignurs barons,» dist li emperere Carles,",Old French
«Li reis Marsilie m'ad tramis ses messages;,Old French
"De sun aveir me voelt duner grant masse,",Old French
"Urs e leuns e veltres caeignables,",Old French
"Set cenz cameilz e mil hosturs muables,",Old French
"Quatre cenz mulz cargez del ór d'Arabe,",Old French
Avoec iço plus de cinquante care;,Old French
Mais il me mandet que en France m'en alge:,Old French
"Il me sivrat ad Aís, a mun estage,",Old French
Si recevrat la nostre lei plus salve;,Old French
"Chrestiens ert, de mei tendrat ses marches;",Old French
Mais jo ne sai quels en est sis curages.»,Old French
Dient Franceis: «Il nus i cuvent guarde!» aoi.,Old French
XIV,Old French
Li empereres out sa raisun fenie.,Old French
"Li quens Rollant, ki ne l'otriet mie,",Old French
"En piez se drecet, si li vint cuntredire.",Old French
Il dist al rei: «Ja mar crerez Marsilie.,Old French
"Set anz ad pleins, que en Espaigne venimes;",Old French
"f.vJo vos cunquis e Noples e Commibles,",Old French
Pris ai Valterne e la tere de Pine,Old French
E Balasgued e Tuele e Sezilie.,Old French
Li reis Marsilie i fist mult que traïtre:,Old French
"De ses paiens il vus enveiat quinze,",Old French
Cha(n)cuns portout une branche d'olive;,Old French
Nuncerent vos cez paroles meïsme.,Old French
A vos Franceis un cunseill en presistes:,Old French
Loerent vos alques de legerie.,Old French
"Dous de voz cuntes al paien tramesistes,",Old French
L'un fut Basan e li altres Basilies;,Old French
Les chef en prist es puis desuz Haltilie.,Old French
Faites la guerre cum vos l'avez enprise:,Old French
"En Sarraguce menez vostre ost banie,",Old French
"Metez le sege a tute vostre vie,",Old French
Si vengez cels que li fels fist ocire!» aoi.,Old French
XV,Old French
"Li emperere en tint sun chef enbrunc,",Old French
"Si duist sa barbe, afaitad sun gernun,",Old French
Ne ben ne mal ne respunt sun nevuld.,Old French
"Franceis se taisent ne mais que Guenelun,",Old French
"En piez se drecet, si vint devant Carlun,",Old French
"Mult fierement cumencet sa raisun,",Old French
"E dist al rei: «Ja mar crerez bricun,",Old French
"Ne mei ne altre, se de vostre prod nun.",Old French
"Quant ço vos mandet li reis Marsiliun,",Old French
"Qu'il devendrat jointes ses mains tis hom,",Old French
"E tute Espaigne tendrat par vostre dun,",Old French
"f.rPuis recevrat la lei que nus tenum,",Old French
"Ki ço vos lodet que cest plait degetuns,",Old French
"Ne li chalt, sire, de quel mort nus muriuns.",Old French
"Cunseill d orguill n'est dreiz que a plus munt,",Old French
"Laissun les fols, as sages nus tenuns.» aoi.",Old French
XVI,Old French
Apres iço i est Neimes venud;,Old French
"Meillor vassal n'aveit en la curt nul,",Old French
"E dist al rei: «Ben l'avez entendud,",Old French
"Guenes li quens ço vus ad respondud,",Old French
"Saveir i ad, mais qu'il seit entendud.",Old French
Li reis Marsilie est de guere vencud:,Old French
"Vos li avez tuz ses castels toluz,",Old French
"Od voz caables avez fruiset ses murs,",Old French
Ses citez arses e ses humes vencuz;,Old French
"Quant il vos mandet, qu'aiez mercit de lui,",Old French
"Pecchet fereit, ki dunc li fesist plus,",Old French
U par ostage vos (en) voelt faire soürs;,Old French
Ceste grant guerre ne deit munter a plus.»,Old French
Dient Franceis: «Ben ad parlet li dux.» aoi.,Old French
XVII,Old French
"– «Seignurs baruns, qui i enveieruns",Old French
En Sarraguce al rei Marsiliuns?»,Old French
Respunt dux Neimes: «Jo irai par vostre dun!,Old French
Livrez m'en ore le guant e le bastun.»,Old French
Respunt li reis: «Vos estes saives hom;,Old French
"Par ceste barbe e par cest men gernun,",Old French
Vos n'irez pas uan de mei si luign.,Old French
"f.vAlez sedeir, quant nuls ne vos sumunt.»",Old French
XVIII,Old French
"– «Seignurs baruns, qui i purruns enveier",Old French
Al Sarrazin ki Sarraguce tient?»,Old French
Respunt Rollant: «Jo i puis aler mult ben!»,Old French
– «Nu ferez certes!» dist li quens Oliver;,Old French
«Vostre curages est mult pesmes e fiers;,Old French
"Jo me crendreie, que vos vos meslisez.",Old French
"Se li reis voelt, jo i puis aler ben.»",Old French
Respunt li reis: «Ambdui vos en taisez!,Old French
Ne vos ne il n'i porterez les piez.,Old French
"Par ceste barbe que veez blancheier,",Old French
Li duze per mar i serunt jugez!»,Old French
Franceis se taisent: as les vus aquisez.,Old French
XIX,Old French
"Turpins de Reins en est levet del renc,",Old French
E dist al rei: «Laisez ester voz Francs!,Old French
En cest païs avez estet set anz;,Old French
Mult unt oüd e peines e ahans.,Old French
"Dunez m'en, sire, le bastun e le guant,",Old French
"E jo irai al Sarazin en Espaigne,",Old French
Sin vois vedeir alques de sun semblant.»,Old French
Li empereres respunt par maltalant:,Old French
«Alez sedeir desur cel palie blanc!,Old French
"N'en parlez mais, se jo nel vos cumant!» aoi.",Old French
XX,Old French
"– «Francs chevalers,» dist li emperere Carles,",Old French
"«Car m'eslisez un barun de ma marche,",Old French
Qu'a Marsiliun me portast mun message.»,Old French
"Ço dist Rollant: «Ço ert Guenes, mis parastre.»",Old French
Dient Franceis: «Car il le poet ben faire;,Old French
"f.rSe lui lessez, n'i trametrez plus saive.»",Old French
E li quens Guenes en fut mult anguisables;,Old French
"De sun col getet ses grandes pels de martre,",Old French
E est remes en sun blialt de palie.,Old French
"Vairs out les oilz e mult fier lu visage,",Old French
Gent out le cors e les costez out larges;,Old French
Tant par fut bels tuit si per l'en esguardent.,Old French
"Dist a Rollant: «Tut fol, pur quei t'esrages?",Old French
Ço set hom ben que jo sui tis parastres;,Old French
Si as juget qu'a Marsiliun en alge!,Old French
"Se Deus ço dunet que jo de la repaire,",Old French
Jo t'en muvrai un si grant contraire,Old French
Ki durerat a trestut tun edage.»,Old French
Respunt Rollant: «Orgoill ói e folage.,Old French
"Ço set hom ben, n'ai cure de manace;",Old French
"Mais saives hom, il deit faire message:",Old French
"Si li reis voelt, prez sui por vus le face.»",Old French
XXI,Old French
Guenes respunt: «Pur mei n'iras tu mie! aoi.,Old French
Tu n'ies mes hom ne jo ne sui tis sire.,Old French
Carles comandet que face sun servise:,Old French
En Sarraguce en irai a Marsilie;,Old French
"Einz i ferai un poi de legerie,",Old French
Que jo n'esclair ceste meie grant ire.»,Old French
"Quant l'ot Rollant, si cumençat a rire. aoi.",Old French
XXII,Old French
"Quant ço veit Guenes que ore s'en rit Rollant,",Old French
"Dunc ad tel doel pur poi d'ire ne fent,",Old French
A ben petit que il ne pert le sens;,Old French
E dit al cunte: «Jo ne vus aim nient;,Old French
f.vSur mei avez turnet fals jugement.,Old French
"Dreiz emperere, veiz me ci en present,",Old French
Ademplir voeill vostre comandement.»,Old French
XXIII,Old French
"«En Sarraguce sai ben, qu'aler m'estoet. aoi.",Old French
"Hom ki la vait, repairer ne s'en poet.",Old French
"Ensurquetut si ai jo vostre soer,",Old French
"Sin ai un filz, ja plus bels n'en estoet:",Old French
"Ço est Baldewin,» ço dit, «ki ert prozdoem.",Old French
A lui lais jo mes honurs e mes fieus.,Old French
"Guardez le ben, ja nel verrai des oilz.»",Old French
Carles respunt: «trop avez tendre coer.,Old French
"Puisquel comant, aler vus en estoet.»",Old French
XXIV,Old French
Ço dist li reis: «Guenes venez avant. aoi.,Old French
Si recevez le bastun e lu guant.,Old French
"Oït l'avez, sur vos le jugent Franc.»",Old French
"– «Sire,» dist Guenes, «ço ad tut fait Rollant!",Old French
"Ne l'amerai a trestut mun vivant,",Old French
"Ne Oliver, por ço qu'il est si cumpainz;",Old French
"Li duze per, por ço qu'il l'aiment tant,",Old French
"Desfi les ci, sire, vostre veiant.»",Old French
Ço dist li reis: «Trop avez maltalant.,Old French
"Or irez vos certes, quant jol cumant.»",Old French
"– «Jo i puis aler, mais n'i avrai guarant: aoi.",Old French
Nu l'out Basilies ne sis freres Basant.»,Old French
XXV,Old French
Li empereres li tent sun guant le destre;,Old French
Mais li quens Guenes iloec ne volsist estre:,Old French
"Quant le dut prendre, si li caït a tere.",Old French
f.rDient Franceis: «Deus! que purrat ço estre?,Old French
De cest message nos avendrat grant perte.»,Old French
– «Seignurs» dist,Old French
"Guenes, «vos en orrez noveles!»",Old French
XXVI,Old French
"– «Sire,» dist Guenes, «dunez mei le cungied;",Old French
"Quant aler dei, n'i ai plus que targer.»",Old French
Ço dist li reis: «Al Jhesu e al mien!»,Old French
"De sa main destre l'ad asols e seignet,",Old French
Puis li livrat le bastun e le bref.,Old French
XXVII,Old French
"Guenes li quens s'en vait a sun ostel,",Old French
"De guarnemenz se prent a cunreer,",Old French
De ses meillors que il pout recuvrer:,Old French
"Esperuns d'or ad en ses piez fermez,",Old French
"Ceint Murglies, s'espee, a sun costed;",Old French
"En Tachebrun, sun destrer est munted;",Old French
L'estreu li tint sun uncle Guinemer.,Old French
"La veïsez tant chevaler plorer,",Old French
"Ki tuit li dient «Tant mare fustes, ber!",Old French
"En (la) cort al rei mult i avez ested,",Old French
Noble vassal vos i solt hom clamer.,Old French
"Ki ço jugat, que doüsez aler",Old French
Par Charlemagne n'er(cs) guariz ne tensez.,Old French
"Li quens Rollant nel se doüst penser,",Old French
Que estrait estes de mult grant parented.»,Old French
"Enpres li dient: «Sire, car nos menez!»",Old French
Ço respunt Guenes: «Ne placet Damnedeu!,Old French
Mielz est que sul moerge que tant bon chevaler.,Old French
"En dulce France, seignurs, vos en irez:",Old French
"De meie part ma muiller saluez,",Old French
"f.vE Pinabel, mun ami e mun per,",Old French
"E Baldewin, mun filz que vos savez,",Old French
E lui aidez e pur seignur le tenez.»,Old French
"Entret en sa veie, si s'est achiminez. aoi.",Old French
XXVIII,Old French
"Guenes chevalchet suz une olive halte,",Old French
Asemblet s'est as sarrazins messages.,Old French
Mais Blancandrins ki envers lu s'atarget;,Old French
Par grant saveir parolet li uns a l'altre.,Old French
"Dist Blancandrins: «Merveilus hom est Charles,",Old French
Ki cunquist Puille e trestute Calabre;,Old French
"Vers Engletere passat il la mer salse,",Old French
Ad oes seint Perre en cunquist le chevage:,Old French
Que nus requert ça en la nostre marche?»,Old French
"Guenes respunt: «Itels est sis curages,",Old French
Jamais n'ert hume ki encuntre lui vaille.» aoi.,Old French
XXIX,Old French
Dist Blancandrins: «Francs sunt mult gentilz home;,Old French
Mult grant mal funt e cil duc e cil cunte,Old French
"A lur seignur, ki tel cunseill li dunent:",Old French
"Lui e altrui travaillent, e cunfundent.»",Old French
"Guenes respunt: «Jo ne sai veirs nul hume,",Old French
"Ne mes Rollant, ki uncore en avrat hunte.",Old French
Er matin sedeit li emperere suz l'umbre;,Old French
"Vint i ses nies, out vestue sa brunie,",Old French
E out predet dejuste Carcasonie;,Old French
En sa main tint une vermeille pume:,Old French
"«Tenez bel sire,» dist Rollant a sun uncle,",Old French
«De trestuz reis vos present les curunes.»,Old French
"Li soens orgoilz le devreit ben cunfundre,",Old French
Kar chascun jur de mort il s'abandunet.,Old French
"f.rSeit, ki l'ociet, tute pais puis avriúmes.» aoi.",Old French
XXX,Old French
"Dist Blancandrins: «Mult est pesmes Rollant,",Old French
"Ki tute gent voelt faire recreant,",Old French
E tutes teres met en chalengement!,Old French
Par quele gent quiet il espleiter tant?»,Old French
Guenes respunt: «Par la franceise gent.,Old French
Il l'aiment tant ne li faldrunt nient;,Old French
"Or e argent lur met tant en present,",Old French
"Muls e destrers, e palies e guarnemenz;",Old French
L'emperere meïsmes ad tut a sun talent.,Old French
Cunquerrat li les teres d'ici qu'en Orient.» aoi.,Old French
XXXI,Old French
"Tant chevalcherent Guenes e Blancandrins,",Old French
"Que l'un a l'altre la sue feit plevit,",Old French
"Que il querreient, que Rollant fust ocis.",Old French
"Tant chevalcherent e veies e chemins,",Old French
Que en Sarraguce descendent suz un if.,Old French
Un faldestoet out suz l'umbre d'un pin;,Old French
Esvolupet fut d'un palie alexandrin:,Old French
La fut li reis ki tute Espaigne tint;,Old French
Tut entur lui vint milie Sarrazins.,Old French
"N'i ad celoi ki mot sunt ne mot tint,",Old French
Pur les nuveles qu'il vuldreient oïr.,Old French
Atant as vos Guenes e Blanchandrins.,Old French
XXXII,Old French
Blancandrins vint devant l'empereür;,Old French
"Par le puign tint le cunte Guenelun,",Old French
E dist al rei: «Salvez seiez de Mahun,Old French
"E d'Apollin, qui seintes leis tenuns!",Old French
Vostre message fesimes a Charlun.,Old French
"Ambes ses mains en levat cuntre munt,",Old French
"f.vLoat sun Deu, ne fist altre respuns.",Old French
"Ci vos enveiet un sun noble barun,",Old French
"Ki est de France, si est mult riches hom:",Old French
Par lui orrez si avrez pais u nun.»,Old French
"Respunt Marsilie: «Or diet, nus l'orrum!» aoi.",Old French
XXXIII,Old French
Mais li quens Guenes se fut ben purpenset.,Old French
Par grant saver cumencet a parler,Old French
"Cume celui ki ben faire le set,",Old French
E dist al rei: «Salvez seiez de Deu,Old French
"Li Glorius, qui devum aürer!",Old French
"Iço vus mandet Carlemagnes, li ber,",Old French
Que recevez seinte chrestientet;,Old French
Demi Espaigne vos voelt en fiu duner.,Old French
"Se cest acorde ne vulez otrier,",Old French
Pris e liez serez par poested;,Old French
"Al siege ad Ais en serez amenet,",Old French
Par jugement serez iloec finet;,Old French
La murrez vus a hunte e a viltet.»,Old French
Li reis Marsilies en fut mult esfreed.,Old French
"Un algier tint, ki d'or fut enpenet,",Old French
"Ferir l'en volt, se n'en fust desturnet. aoi.",Old French
XXXIV,Old French
Li reis Marsilies ad la culur muee;,Old French
De sun algeir ad la hanste crollee.,Old French
"Quant le vit Guenes, mist la main a l'espee,",Old French
"Cuntre dous deie l'ad del furrer getee,",Old French
Si li ad dit: «Mult estes bele e clere!,Old French
Tant vus avrai en curt a rei portee!,Old French
"Ja nel dirat de France li emperere,",Old French
"Que suls i moerge en l'estrange cuntree,",Old French
f.rEinz vos avrunt li meillor comperee.»,Old French
Dient paien: «Desfaimes la mellee!»,Old French
XXXV,Old French
"Tuit li preierent li meillor Sarrazin,",Old French
Qu'el faldestoed s'est Marsilies asis.,Old French
"Dist l'algalifes: «Mal nos avez baillit,",Old French
Que li Franceis asmastes a ferir;,Old French
Vos le doüssez esculter e oïr.»,Old French
"– «Sire,» dist Guenes, «mei l'avent a suffrir;",Old French
"Jo ne lerreie, por l'or que Deus fist",Old French
"Ne por tut l'aveir, ki seit en cest païs,",Old French
"Que jo ne li die, se tant ai de leisir,",Old French
"Que Charles li mandet, li reis poesteïfs,",Old French
"Par mei li mandet, sun mortel enemi.»",Old French
"Afublez est d'un mantel sabelin,",Old French
Ki fut cuvert d'une palie alexandrin.,Old French
"Getet le a tere, sil receit Blancandrin;",Old French
Mais de s'espee ne volt mie guerpir;,Old French
En sun puign destre par l'orie punt la tint.,Old French
Dient paien: «Noble baron ad ci!» aoi.,Old French
XXXVI,Old French
"Envers le rei s'est Guenes aproismet,",Old French
"Si li ad dit: «A tort vos curuciez,",Old French
"Quar ço vos mandet Carles, ki France tient,",Old French
Que recevez la lei de chrestiens;,Old French
Demi Espaigne vus durat il en fiet.,Old French
"L'altre meitet avrat Rollant, sis nies:",Old French
Mulz orguillos parçuner i avrez!,Old French
"Si ceste acorde ne volez otrier,",Old French
En Sarraguce vus vendrat aseger;,Old French
Par poestet serez pris e liez;,Old French
Menet serez . . . tut dreit ad Ais le siet:,Old French
"f.vVus n'i avrez palefreid ne destrer,",Old French
Ne mul ne mule que puissez chevalcher;,Old French
Getet serez sur un malvais sumer.,Old French
Par jugement iloec perdrez le chef.,Old French
Nostre emperere vus enveiet cest bref.»,Old French
El destre poign al paien l'ad liv(e)ret.,Old French
XXXVII,Old French
Marsilies fut esculurez de l'ire;,Old French
"Freint le seel, getet en ad la cire,",Old French
"Guardet al bref, vit la raisun escrite:",Old French
"«Carle me mandet, ki France ad en baillie,",Old French
"Que me remembre de la dolur e (de) l'ire,",Old French
"Ço est de Basan e de sun frere Basilie,",Old French
Dunt pris les chefs as puis de Haltoíe;,Old French
"Se de mun cors voeil aquiter la vie,",Old French
"Dunc li envei mun uncle, l'algalife;",Old French
Altrement ne m'amerat il mie.»,Old French
"Apres parlat ses filz envers Marsilies,",Old French
E dist al rei: «Guenes ad dit folie;,Old French
Tant ad erret nen est dreiz que plus vivet.,Old French
"Livrez le mei, jo en ferai la justise.»",Old French
"Quant l'oït Guenes, l'espee en ad branlie;",Old French
Vait s'apuier suz le pin a la tige.,Old French
XXXVIII,Old French
"Enz el verger s'en est alez li reis,",Old French
Ses meillors humes enmeinet ensembl'od sei:,Old French
"E Blancandrins i vint, al canud peil,",Old French
"E Jurfaret, ki est ses filz e ses heirs,",Old French
"E l'algalifes, sun uncle e sis fedeilz.",Old French
"Dist Blancandrins: «Apelez le Franceis,",Old French
De nostre prod m'ad plevie sa feid.»,Old French
f.rÇo dist li reis: «E vos l'i ameneiz.»,Old French
"E Guenes (l')ad pris par la main destre ad deiz,",Old French
Enz el verger l'en meinet josqu'al rei.,Old French
La purparolent la traïson seinz dreit. aoi.,Old French
XXXIX,Old French
"«Bel sire Guenes,» ço li ad dit Marsilie,",Old French
"«Jo vos ai fait alques de legerie,",Old French
Quant por ferir vus demustrai grant ire.,Old French
Guaz vos en dreit par cez pels sabelines;,Old French
Melz en valt l'or que ne funt cinc cenz livres:,Old French
Einz demain noit en iert bele l'amendise.»,Old French
Guenes respunt: «Jo nel desotrei mie.,Old French
"Deus se lui plaist, a bien le vos mercie!» aoi.",Old French
XL,Old French
"Ço dist Marsilies: «Guenes par veir sacez,",Old French
"En talant ai que mult vos voeill amer,",Old French
De Carlemagne vos voeill oïr parler.,Old French
"Il est mult vielz, si ad sun tens uset;",Old French
Men escient dous cenz anz ad passet.,Old French
"Par tantes teres ad sun cors demened,",Old French
"Tanz colps ad pris sur sun escut bucler,",Old French
Tanz riches reis cunduit a mendisted:,Old French
Quant ert il mais recreanz d'osteier?»,Old French
Guenes respunt: «Carles n'est mie tels.,Old French
N'est hom kil veit e conuistre le set,Old French
Que ço ne diet que l'emperere est ber.,Old French
Tant nel vos sai ne preiser ne loer,Old French
Que plus n'i ad d'onur e de bontet.,Old French
"Sa grant valor, kil purreit acunter?",Old French
"De tel barnage l'ad Deus enluminet,",Old French
Meilz voelt murir que guerpir sun barnet.»,Old French
XLI,Old French
f.vDist li paiens: «Mult me puis merveiller,Old French
"De Carlemagne, ki est canuz e vielz!",Old French
Men escientre dous cenz anz ad e mielz.,Old French
"Par tantes teres ad sun cors traveillet,",Old French
"Tanz colz ad pris de lances e d'espiet,",Old French
Tanz riches reis cunduiz a mendistiet:,Old French
Quant ert il mais recreanz d'osteier?»,Old French
"– «Ço n'iert,» dist Guenes: «tant cum vivet sis niés:",Old French
N'at tel vassal suz la cape del ciel.,Old French
Mult par est proz sis cumpainz Oliver.,Old French
"Les .XII. pers, que Carles ad tant chers,",Old French
Funt les enguardes a .XX. milie chevalers.,Old French
"Soürs est Carles, que nuls home ne crent.» aoi.",Old French
XLII,Old French
Dist li Sarrazins: «Merveille en ai grant,Old French
"De Carlemagne, ki est canuz e blancs!",Old French
Mien escientre plus ad de .II.C. anz.,Old French
"Par tantes teres est alet cunquerant,",Old French
"Tanz colps ad pris de bons espiez trenchanz,",Old French
Tanz riches reis morz e vencuz en champ:,Old French
Quant ier il mais d'osteier recreant?»,Old French
"– «Ço n'iert,» dist Guenes, «tant cum vivet Rollant:",Old French
